TOTAL_SALES,COUNTRY
21755581,Argentina
21522004,Australia
21365726,Austria
21325766,Azerbaijan
21498249,Belgium
21350771,Brazil
21410716,Bulgaria
21575438,Canada
21500526,Cyprus
21334142,Czech Republic
21331097,Denmark
21379967,Egypt
21493054,Estonia
21336188,Finland
21341055,France
21301931,Germany
21412393,Greece
21338015,Hungary
21330883,India
21498960,Indonesia
21095982,Ireland
21581548,Israel
21844913,Italy
21765341,Japan
21429604,Jordan
21452597,Malaysia
21455404,Mexico
21383019,Netherlands
21329461,New Zealand
21544439,Norway
21433121,Oman
21704462,Peru
21651762,Philippines
21845131,Poland
21554611,Portugal
21473762,Qatar
21738876,Russia
21326437,Saudi Arabia
21534966,Singapore
21394755,South Africa
21598368,South Korea
21465342,Spain
21415934,Sudan
21000525,Sweden
21526097,Switzerland
21060208,Taiwan
21517513,Tajikistan
21848776,Thailand
21270737,Turkey
21474740,Ukraine
21444221,United Arab Emirates
21415113,United Kingdom
21007997,United States
21321382,Uruguay
21416080,Uzbekistan
21280572,Vietnam
